date,amount
2019/9/1,153794
2019/9/2,142643
2019/9/3,142809
2019/9/4,139587
2019/9/5,146053
2019/9/6,178270
2019/9/7,178045
2019/9/8,167231
2019/9/9,140968
2019/9/10,141827
2019/9/11,150060
2019/9/12,206728
2019/9/13,162103
2019/9/14,148433
2019/9/15,151183
2019/9/16,138931
2019/9/17,137341
2019/9/18,139642
2019/9/19,144322
2019/9/20,186251
2019/9/21,179948
2019/9/22,166048
2019/9/23,140630
2019/9/24,137119
2019/9/25,139665
2019/9/26,144571
2019/9/27,187474
2019/9/28,182672
2019/9/29,173214
2019/9/30,140793
2019/10/1,136312
2019/10/2,139667
2019/10/3,144662
2019/10/4,164606
2019/10/5,171944
2019/10/6,162346
2019/10/7,141399
2019/10/8,144358
2019/10/9,197071
2019/10/10,194531
2019/10/11,179549
2019/10/12,176634
2019/10/13,167113
2019/10/14,137092
2019/10/15,135119
2019/10/16,138718
2019/10/17,141927
2019/10/18,177817
2019/10/19,181309
2019/10/20,173147
2019/10/21,142402
2019/10/22,139138
2019/10/23,141595
2019/10/24,143397
2019/10/25,184995
2019/10/26,193234
2019/10/27,174096
2019/10/28,140689
2019/10/29,134282
2019/10/30,135245
2019/10/31,140959
2019/11/1,177362
2019/11/2,176129
2019/11/3,153056
2019/11/4,137069
2019/11/5,134970
2019/11/6,137744
2019/11/7,144152
2019/11/8,188478
2019/11/9,183515
2019/11/10,169780
2019/11/11,142982
2019/11/12,138863
2019/11/13,141319
2019/11/14,148490
2019/11/15,193006
2019/11/16,192988
2019/11/17,183084
2019/11/18,145568
2019/11/19,140315
2019/11/20,143177
2019/11/21,149201
2019/11/22,194065
2019/11/23,188234
2019/11/24,176018
2019/11/25,144653
2019/11/26,138815
2019/11/27,141785
2019/11/28,149753
2019/11/29,192324
2019/11/30,195332
2019/12/1,178859
2019/12/2,142669
2019/12/3,140655
2019/12/4,142434
2019/12/5,151130
2019/12/6,200065
2019/12/7,198933
2019/12/8,189132
2019/12/9,150101
2019/12/10,145188
2019/12/11,146419
2019/12/12,152699
2019/12/13,196864
2019/12/14,213616
2019/12/15,210377
2019/12/16,156232
2019/12/17,147053
2019/12/18,148132
2019/12/19,152372
2019/12/20,198508
2019/12/21,195083
2019/12/22,189061
2019/12/23,155183
2019/12/24,156351
2019/12/25,162344
2019/12/26,158406
2019/12/27,195621
2019/12/28,194117
2019/12/29,173558
2019/12/30,164128
2019/12/31,218701
